End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.23722622013306188,0.22702927950180937,0.4408070843085553,0.09493741605657349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.13679955550165804,0.12162389111243864,0.20987650316771195,0,0,0,0,0,0.3053608180210658,0.2263392321971255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.49176769822993666,0.11064781321094114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20790443121982843,0.18876906700207255,0,0,0,0,0.0009109903372212025,0,0
heating,5,0,0.02074359609133091,0,0,0,0,0,0,0,0.19542931923816684,0.14773517582813378,0,0.21925496732245256,0.22408099906941062,0.19164214575353575,0.0011137966969695851,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.061881258565774776,0,0,0,0,0.036192662360241254,0,0,0,0.1266233337388786,0.7753027453351052,0,0,0,0,0,0,0,0,0,0
heating,7,0.4499547463799253,0,0,0,0,0.14054008823410122,0,0,0,0,0,0,0,0,0,0,0.3888627047394496,0,0,0.02064246064652383,0,0,0,0,0,0
heating,8,0,0,0.0005557811615598986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007143799096892641,0,0.004955286129049246,0.10999631353776655,0,0,0.08754594806850394,0.4215310358488895,0.3682718361573384,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005298644452367201,0.3063608264982839,0.400105434405255,0.25068386990823927,0,0,0.04232000474298507
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.2259128510016826,0.23109719916453467,0.44909498979609547,0.09389496003768734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.13657349436683533,0.12216125208522649,0.21023099051446434,0,0,0,0,0,0.3045375701150483,0.22649669291842553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.49369690950832884,0.11027803630903948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20888146809018307,0.18622185922207005,0,0,0,0,0.000921726870378492,0,0
cooling,5,0,0.015594107796090832,0,0,0,0,0,0,0,0.19717239764825523,0.15153736823094463,0,0.21329936148161344,0.22676260913523874,0.19451275345848804,0.001121402249369135,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.06232959790417739,0,0,0,0,0.03315288057115339,0,0,0,0.12641496402057043,0.7781025575040987,0,0,0,0,0,0,0,0,0,0
cooling,7,0.45097267413130515,0,0,0,0,0.14058371726546764,0,0,0,0,0,0,0,0,0,0,0.3887332607880801,0,0,0.01971034781514709,0,0,0,0,0,0
cooling,8,0,0,0.0005817753071280046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007267882823321596,0,0.004498931837296415,0.10392225057538786,0,0,0.08659628684876587,0.42719939263799966,0.36993347997010056,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005522747373809397,0.3049171241180857,0.4091726350657424,0.24426731897872878,0,0,0.04109064710006222
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.23076967132541504,0.2005132722010219,0.47505049151603834,0.09366656495752475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.14573509779279992,0.1425940070125063,0.17256153404020305,0,0,0,0,0,0.32138961970356744,0.21771974145092338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.4148676488534809,0.16304854909317346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2385212652858788,0.18198993223312554,0,0,0,0,0.0015726045343413355,0,0
water heating,5,0,0.2444349509856561,0,0,0,0,0,0,0,0.09873544233870167,0.09239985583223724,0,0.14900031616146112,0.22828760417130808,0.18578419472883875,0.0013576357817971462,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.08689938553111101,0,0,0,0,0.025608005193661576,0,0,0,0.22863666040799224,0.6588559488672352,0,0,0,0,0,0,0,0,0,0
water heating,7,0.592530206663294,0,0,0,0,0.1899136555005812,0,0,0,0,0,0,0,0,0,0,0.19310817629471647,0,0,0.024447961541408145,0,0,0,0,0,0
water heating,8,0,0,0.00028869926591262185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068412609727462135,0,0.0021178775951028986,0.259372955121346,0,0,0.04793677776650585,0.30910041742732086,0.3743420118510656,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012385165073300031,0.28856419624363133,0.4271005748994675,0.226984319306088,0,0,0.05611239304348311
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.25952982574854633,0.19191561996063547,0.4636095063859308,0.08494504790488741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.15654861334000766,0.14374015746389537,0.17527520970133764,0,0,0,0,0,0.3293668771002899,0.19506914239446937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.3762819666415433,0.16265893343272905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2720381125519782,0.1872404093423178,0,0,0,0,0.0017805780314317054,0,0
misc,5,0,0.339804329416522,0,0,0,0,0,0,0,0.068690024044118,0.06918679432441187,0,0.11936442410029237,0.23575236972860766,0.16538267468381618,0.0018193837022319344,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.08581608642155814,0,0,0,0,0.030173139004133463,0,0,0,0.26389248224641837,0.6201182923278902,0,0,0,0,0,0,0,0,0,0
misc,7,0.5975515350016688,0,0,0,0,0.19037258037488416,0,0,0,0,0,0,0,0,0,0,0.18838838603552188,0,0,0.02368749858792518,0,0,0,0,0,0
misc,8,0,0,0.00028266193688178366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010788756089406146,0,0.0016098362941066044,0.3189508299306087,0,0,0.052701982979475356,0.2769682586772213,0.3386976740923001,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003228516890125183,0.3372400321507548,0.5072023233570186,0.12440466773959527,0,0,0.027924459862506027
