region,building type,total,heating,cooling,fans and pumps,water heating,lighting,refrigeration,plug loads,ceiling fan,drying,clothes washing,dishwasher,pool heaters,pool pumps,cooking,portable electric spas
BASN,res,125989306.1,0.160977491,0.22341041,0.077542564,0.064667236,0.099321933,0.068581541,0.206568931,0.004031372,0.037363785,0.002187975,0.00484181,0.00125831,0.013519897,0.024986406,0.01074034
CANO,res,181360925.8,0.120748546,0.154487867,0.054776791,0.043806256,0.114791399,0.085892033,0.296995729,0.005319657,0.044625308,0.003100586,0.00553613,0.001058223,0.03207671,0.019316189,0.017468575
CASO,res,250612357.7,0.033817612,0.268101622,0.076643921,0.032241108,0.111766205,0.084491168,0.288790573,0.008235941,0.023719947,0.002842827,0.005220528,0.000897848,0.029678949,0.018100875,0.015450878
FRCC,res,489541042.1,0.056903013,0.412505439,0.085504985,0.08521875,0.075637348,0.049227336,0.157048748,0.00631602,0.028583732,0.0014407,0.002723169,0.00104905,0.011018375,0.021296481,0.005526852
ISNE,res,224356094.8,0.153006804,0.127218275,0.07097692,0.085550788,0.114824452,0.078986984,0.261594346,0.004130229,0.040168006,0.0023419,0.004496897,0.000980249,0.019064255,0.027023046,0.009636849
MISC,res,268206853.3,0.285875541,0.19236885,0.064813553,0.076499074,0.085727337,0.058565176,0.161966309,0.003397509,0.028633948,0.001759253,0.003169275,0.000242419,0.010235193,0.019775326,0.006971236
MISE,res,139307321,0.151481184,0.151221393,0.083600535,0.072452736,0.125096772,0.08849386,0.231165463,0.004785549,0.032993036,0.002602484,0.004399165,0.000235862,0.016405425,0.023491372,0.011575165
MISS,res,240807791.7,0.182631961,0.317442828,0.068925492,0.075025285,0.070769042,0.046554362,0.168218638,0.003920347,0.026336465,0.001445311,0.002552924,0.001200575,0.011979557,0.017337711,0.005659502
MISW,res,252829632,0.25412339,0.088104453,0.06311639,0.095693681,0.114969619,0.078230693,0.215420266,0.003738148,0.037456723,0.002227656,0.003955839,0.000291144,0.008843553,0.025887314,0.007941129
NWPP,res,248505604.6,0.352625542,0.040513817,0.031795344,0.147461524,0.074771538,0.064255547,0.194768072,0.002060323,0.036290614,0.002107942,0.004715286,1.77E-05,0.004932418,0.029688174,0.01399616
NYCW,res,136712393.2,0.103803338,0.188411863,0.067685278,0.064669277,0.131430101,0.083091401,0.278646675,0.005703499,0.019841031,0.001788382,0.004064114,0.000176869,0.015821674,0.026083115,0.008783382
NYUP,res,124473319.8,0.198156853,0.121284019,0.07379846,0.071174728,0.108160985,0.077314407,0.245292627,0.004311166,0.032939763,0.002245088,0.004248784,0.000607833,0.027744875,0.019523962,0.01319645
PJMC,res,124061326.4,0.156359826,0.175246419,0.081249277,0.055969333,0.134118223,0.082095151,0.240134066,0.005299928,0.018062722,0.00238188,0.004352675,0.000191614,0.011597801,0.02459757,0.008343514
PJMD,res,206080106.6,0.300917638,0.184233795,0.054798518,0.093963908,0.082065726,0.04862218,0.163761805,0.003140678,0.028946282,0.001531827,0.003137799,0.000415265,0.008618671,0.021406312,0.004439595
PJME,res,453249948.7,0.225042318,0.16940226,0.062943731,0.075100363,0.101102959,0.064515598,0.215321649,0.00405816,0.028384127,0.001953619,0.00373543,0.000355093,0.019042561,0.020111662,0.008930471
PJMW,res,471809018.5,0.28082403,0.146555198,0.061593247,0.082094162,0.094064204,0.064314333,0.186695906,0.003802701,0.032838063,0.001956489,0.003515608,0.000239499,0.01271783,0.020789042,0.007999688
RMRG,res,95689012.92,0.23412916,0.092143659,0.061634679,0.086796038,0.107557956,0.07754791,0.237458465,0.003691606,0.043339165,0.002528606,0.005577798,0.000123435,0.005001638,0.032344575,0.01012531
SPPC,res,130691273.6,0.247542916,0.223216409,0.070220904,0.075798399,0.086353802,0.055694817,0.164758777,0.003220364,0.029382673,0.001698255,0.003402177,0.000617607,0.010146405,0.021772551,0.006173944
SPPN,res,106264306.3,0.412170118,0.087257023,0.051866039,0.087037852,0.081183547,0.054572007,0.157048036,0.002846651,0.028038169,0.001596287,0.003062794,0.000237178,0.007068698,0.020151215,0.005864386
SPPS,res,199427869,0.216559615,0.26993555,0.072491664,0.076009533,0.071532437,0.048418553,0.173325303,0.002928436,0.027108588,0.001532232,0.002834283,0.001226529,0.013354969,0.017044568,0.00569774
SRCA,res,387920170.5,0.263388984,0.228377031,0.062780664,0.095599563,0.072746038,0.047355557,0.157438,0.00318498,0.028703129,0.001486241,0.002639689,0.000960354,0.011104409,0.01857616,0.0056592
SRCE,res,348753479.9,0.30197597,0.200957913,0.058505569,0.085095297,0.075844282,0.046041907,0.16420842,0.002821196,0.027836277,0.001413578,0.00270233,0.000583808,0.007993433,0.019133339,0.004886681
SRSE,res,406886719.4,0.18797897,0.283206716,0.072195873,0.08298998,0.078193692,0.049795493,0.168948475,0.003773215,0.030426471,0.001564529,0.002779738,0.001115842,0.012358337,0.018727534,0.005945135
SRSG,res,214141976.3,0.059087107,0.392083942,0.097688114,0.05595193,0.08026849,0.053035345,0.168930209,0.004824559,0.030731947,0.00173248,0.00361176,0.002080694,0.021788776,0.018057863,0.010126785
TRE,res,579754383.2,0.1500707,0.336997862,0.075988881,0.07480881,0.07586312,0.044615517,0.169954857,0.004319893,0.026809823,0.001490147,0.002875988,0.001027992,0.011223494,0.01838601,0.005566909
BASN,com,4354669831,0.06588919,0.188226907,0.202011419,0.047509807,0.243170674,0.003887407,0.249304597,,,,,,,,
CANO,com,8776613244,0.082749129,0.151060738,0.314807886,0.028169851,0.137435737,0.001921945,0.283854713,,,,,,,,
CASO,com,16450661347,0.058982116,0.225677038,0.315582539,0.024205706,0.117718736,0.001458305,0.25637556,,,,,,,,
FRCC,com,15558208069,0.012309227,0.365044807,0.172202517,0.052104986,0.18779652,0.002698764,0.207843178,,,,,,,,
ISNE,com,9003045883,0.150799817,0.128202276,0.181893529,0.054681736,0.229384907,0.003101827,0.251935909,,,,,,,,
MISC,com,7045051981,0.097196947,0.18775118,0.176129267,0.047509254,0.23956949,0.003881842,0.24796202,,,,,,,,
MISE,com,4802688056,0.080744899,0.138713112,0.194477405,0.04358858,0.276112189,0.004517386,0.261846428,,,,,,,,
MISS,com,5723782053,0.03679658,0.317404492,0.183002562,0.041266997,0.21548463,0.004067317,0.201977422,,,,,,,,
MISW,com,8003009250,0.125422364,0.12224294,0.183061843,0.052583753,0.253260465,0.004556476,0.258872159,,,,,,,,
NWPP,com,5525848192,0.141073545,0.087804246,0.188031676,0.060454059,0.253512225,0.004607796,0.264516453,,,,,,,,
NYCW,com,7093974164,0.131527135,0.174362397,0.159624004,0.049729103,0.212942536,0.001823446,0.269991379,,,,,,,,
NYUP,com,5243474836,0.168496299,0.128238606,0.160148648,0.064346842,0.236195025,0.003599586,0.238974993,,,,,,,,
PJMC,com,6458130733,0.084689027,0.148581803,0.186232323,0.051980721,0.245177197,0.002379469,0.28095946,,,,,,,,
PJMD,com,5109868972,0.076859677,0.216799408,0.175860218,0.045039541,0.216591928,0.002628146,0.266221081,,,,,,,,
PJME,com,16368912092,0.129480798,0.167190318,0.158869737,0.052755388,0.233062689,0.002531643,0.256109426,,,,,,,,
PJMW,com,15046933214,0.109605886,0.160351183,0.178545413,0.049095898,0.242564384,0.003628113,0.256209122,,,,,,,,
RMRG,com,3109282383,0.10333776,0.115495391,0.213077628,0.05586464,0.242305961,0.004392469,0.265526152,,,,,,,,
SPPC,com,3810013175,0.080183506,0.189455596,0.167204051,0.036741265,0.272557906,0.003832072,0.250025603,,,,,,,,
SPPN,com,2021185525,0.181661326,0.129703617,0.17714731,0.052583846,0.232230071,0.006601269,0.220072563,,,,,,,,
SPPS,com,4665860131,0.061863917,0.260028736,0.189527707,0.036769039,0.22880166,0.005015792,0.217993149,,,,,,,,
SRCA,com,9593051764,0.058036496,0.243056688,0.176646513,0.047171863,0.233677019,0.003555734,0.237855687,,,,,,,,
SRCE,com,7466304419,0.05851769,0.222385209,0.175942212,0.041616892,0.248291908,0.003425216,0.249820873,,,,,,,,
SRSE,com,10719652608,0.038013316,0.26669528,0.181360149,0.042007542,0.230118681,0.003443277,0.238361755,,,,,,,,
SRSG,com,5562156969,0.030587279,0.288823099,0.206408797,0.040083907,0.212205878,0.004062842,0.217828198,,,,,,,,
TRE,com,17850497253,0.034643354,0.317944659,0.176889722,0.037775275,0.20552107,0.00323482,0.2239911,,,,,,,,