Region,Year,Summer-MaxHr,Summer-MinHr,Winter-MaxHr,Winter-MinHr,Inter-MaxHr,Inter-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2
1,2020,18,6,22,5,18,5,17,20,3,7,,,21,24,1,17,,,17,20,1,9,,
1,2025,18,6,22,5,18,5,17,20,3,7,,,21,24,1,17,,,17,20,1,9,,
1,2030,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2035,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2040,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2045,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2050,19,6,22,11,19,5,18,21,3,9,,,20,23,1,7,9,17,18,21,1,11,,
2,2020,16,4,20,3,18,4,15,18,1,7,,,19,22,1,6,,,17,20,1,7,,
2,2025,18,4,20,15,19,4,17,20,1,9,,,18,21,1,6,10,17,18,21,1,10,,
2,2030,18,4,20,15,19,4,17,20,1,9,,,18,21,1,6,10,17,18,21,1,10,,
2,2035,19,4,20,15,19,4,18,21,1,10,,,18,21,1,5,10,17,18,21,1,12,,
2,2040,19,9,20,14,20,10,17,20,8,11,,,18,21,11,16,,,18,21,8,14,,
2,2045,19,9,20,14,20,10,17,20,8,11,,,18,21,11,16,,,18,21,8,14,,
2,2050,19,9,20,14,20,10,17,20,8,11,,,18,21,11,16,,,18,21,8,14,,
3,2020,14,4,19,3,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2025,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2030,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2035,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2040,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2045,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2050,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
4,2020,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2025,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2030,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2035,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2040,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2045,17,5,20,4,18,4,16,19,1,7,,,19,22,1,6,,,17,20,1,6,,
4,2050,17,5,20,4,18,4,16,19,3,7,,,19,22,1,6,,,17,20,1,6,,
5,2020,14,4,19,4,13,4,13,16,1,7,,,18,21,1,6,,,12,15,1,6,,
5,2025,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2030,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2035,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2040,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2045,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2050,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
6,2020,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2025,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2030,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2035,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2040,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2045,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2050,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
7,2020,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2025,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2030,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2035,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2040,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2045,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2050,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
8,2020,13,4,19,4,13,4,12,15,1,6,,,18,21,1,6,,,12,15,1,7,,
8,2025,13,4,19,4,21,4,12,15,1,6,,,18,21,1,6,,,20,23,1,7,,
8,2030,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2035,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2040,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2045,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2050,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
9,2020,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2025,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2030,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2035,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2040,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2045,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2050,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
10,2020,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2025,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2030,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2035,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2040,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2045,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2050,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
11,2020,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2025,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2030,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2035,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2040,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2045,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2050,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
12,2020,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2025,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2030,16,5,20,3,16,4,15,18,1,9,,,19,22,1,9,13,18,15,18,1,8,,
12,2035,16,5,20,3,20,4,15,18,1,9,,,19,22,1,9,13,18,19,22,1,8,,
12,2040,18,5,20,3,20,4,17,20,1,11,,,19,22,1,18,,,19,22,1,11,,
12,2045,18,5,20,15,20,4,17,20,1,11,,,18,21,1,18,,,19,22,1,11,,
12,2050,18,5,20,15,20,4,17,20,1,11,,,18,21,1,18,,,19,22,1,11,,
13,2020,15,4,19,3,14,3,14,17,1,6,,,18,21,1,6,13,16,13,16,1,6,,
13,2025,18,4,19,3,20,3,17,20,1,7,,,18,21,1,6,9,17,19,22,1,9,,
13,2030,18,4,19,3,20,3,17,20,1,7,,,18,21,1,6,9,17,19,22,1,9,,
13,2035,18,4,19,3,20,3,17,20,1,7,,,18,21,1,6,9,17,19,22,1,9,,
13,2040,18,4,19,15,20,3,17,20,1,8,,,17,20,1,6,9,17,19,22,1,15,,
13,2045,18,4,19,13,20,3,17,20,1,11,,,17,20,1,5,9,16,19,22,1,16,,
13,2050,20,9,19,13,20,12,18,21,8,13,,,17,20,10,16,,,18,21,8,16,,
14,2020,15,3,19,2,18,3,14,17,1,7,,,18,21,1,5,10,17,17,20,1,6,,
14,2025,16,3,20,15,19,3,15,18,1,7,,,18,21,1,4,10,17,18,21,1,6,8,12
14,2030,18,3,20,15,19,3,17,20,1,7,,,18,21,1,4,10,17,18,21,1,6,8,13
14,2035,19,9,20,15,20,12,17,20,1,13,,,18,21,10,16,,,18,21,1,4,8,16
14,2040,19,9,20,14,20,12,17,20,1,13,,,18,21,10,16,,,18,21,8,16,,
14,2045,20,10,20,14,20,12,18,21,3,13,,,18,21,11,16,,,18,21,9,15,,
14,2050,20,10,20,14,20,12,18,21,8,13,,,18,21,11,16,,,18,21,9,15,,
15,2020,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,11,17,13,16,1,7,,
15,2025,19,4,20,15,20,9,18,21,1,12,,,18,21,10,17,,,18,21,1,16,,
15,2030,19,4,20,15,20,9,18,21,1,12,,,18,21,1,3,10,17,18,21,1,16,,
15,2035,21,9,20,15,20,12,19,22,2,14,,,18,21,10,16,,,18,21,1,16,,
15,2040,21,10,20,14,20,12,19,22,8,14,,,18,21,10,16,,,18,21,9,16,,
15,2045,21,11,20,13,20,12,19,22,9,14,,,18,21,11,16,,,18,21,9,15,,
15,2050,21,11,20,13,20,12,19,22,9,14,,,18,21,11,15,,,18,21,10,15,,
16,2020,16,4,20,3,20,4,15,18,1,7,,,19,22,1,6,11,17,19,22,1,6,,
16,2025,16,4,20,15,20,4,15,18,1,7,,,18,21,1,5,10,17,19,22,1,9,,
16,2030,16,4,20,15,20,4,15,18,1,7,,,18,21,1,5,10,17,19,22,1,6,,
16,2035,16,4,20,15,20,4,15,18,1,7,,,18,21,1,5,10,17,19,22,1,6,,
16,2040,19,4,20,15,20,4,18,21,1,8,,,18,21,1,5,10,17,19,22,1,13,,
16,2045,20,4,20,15,20,4,19,22,1,10,,,18,21,1,4,10,17,19,22,1,16,,
16,2050,20,4,20,15,20,4,19,22,1,10,,,18,21,1,4,10,17,19,22,1,16,,
17,2020,16,5,20,4,18,4,15,18,2,6,,,19,22,1,6,,,17,20,1,7,,
17,2025,16,5,20,4,20,4,15,18,3,7,,,19,22,1,6,9,17,19,22,1,9,,
17,2030,18,5,20,14,20,4,17,20,3,9,,,18,21,2,17,,,19,22,1,14,,
17,2035,20,9,20,13,20,11,18,21,4,12,,,18,21,10,16,,,18,21,9,15,,
17,2040,20,9,20,13,21,11,18,21,8,12,,,18,21,10,16,,,19,22,9,15,,
17,2045,20,9,20,13,21,11,18,21,8,12,,,18,21,10,16,,,19,22,9,15,,
17,2050,20,9,20,13,21,11,18,21,8,12,,,18,21,10,16,,,19,22,9,15,,
18,2020,16,5,20,5,18,5,15,18,3,7,,,19,22,1,16,,,17,20,1,8,,
18,2025,16,5,21,5,18,5,15,18,3,7,,,20,23,1,16,,,17,20,1,8,,
18,2030,19,5,21,15,20,5,18,21,3,10,,,19,22,1,17,,,19,22,1,12,,
18,2035,19,5,20,15,20,5,18,21,3,10,,,18,21,2,17,,,19,22,1,13,,
18,2040,19,9,20,13,20,9,17,20,4,12,,,18,21,9,16,,,18,21,4,14,,
18,2045,20,9,20,13,20,10,18,21,5,12,,,18,21,9,16,,,18,21,8,14,,
18,2050,20,10,20,14,20,11,18,21,9,12,,,18,21,10,16,,,18,21,9,14,,
19,2020,18,4,20,15,20,4,17,20,1,9,,,18,21,1,6,9,17,19,22,1,14,,
19,2025,18,4,20,15,20,4,17,20,1,9,,,18,21,1,5,9,17,19,22,1,14,,
19,2030,18,4,20,15,20,4,17,20,1,9,,,18,21,1,6,9,17,19,22,1,13,,
19,2035,18,4,20,15,20,4,17,20,1,9,,,18,21,1,6,9,17,19,22,1,13,,
19,2040,18,4,20,15,20,4,17,20,1,9,,,18,21,1,6,8,17,19,22,1,12,,
19,2045,18,4,20,15,20,4,17,20,1,9,,,18,21,1,6,8,17,19,22,1,12,,
19,2050,18,4,20,15,20,4,17,20,1,9,,,18,21,1,6,8,17,19,22,1,11,,
20,2020,21,4,20,4,20,4,20,23,1,16,,,19,22,1,16,,,19,22,1,13,,
20,2025,21,10,20,12,20,9,19,22,1,16,,,18,21,1,6,8,16,18,21,1,6,8,16
20,2030,21,12,20,12,20,10,19,22,8,16,,,18,21,9,16,,,18,21,8,15,,
20,2035,21,12,20,12,20,10,19,22,8,16,,,18,21,9,16,,,18,21,8,16,,
20,2040,21,12,20,12,20,11,19,22,9,15,,,18,21,9,16,,,18,21,9,15,,
20,2045,21,12,20,12,20,10,19,22,9,15,,,18,21,9,16,,,18,21,8,15,,
20,2050,21,12,20,12,20,10,19,22,9,15,,,18,21,9,16,,,18,21,8,15,,
21,2020,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2025,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2030,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2035,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2040,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2045,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2050,18,3,19,3,20,3,17,20,1,6,,,18,21,1,5,,,19,22,1,5,,
22,2020,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2025,18,4,19,3,18,3,17,20,1,8,,,18,21,1,6,9,16,17,20,1,6,,
22,2030,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2035,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2040,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2045,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2050,18,4,19,3,19,3,17,20,1,8,,,18,21,1,6,9,16,18,21,1,6,,